Rk,Name,Age,Tm,Pit/PA,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,AS/Pit,Con,1st%,30%,2%,L/SO%
476,Keury Mella\mellake01,25,CIN,3.5,63.50%,20.00%,27.50%,22.50%,30.00%,80.00%,50.80%,65.60%,55.60%,5.60%,22.20%,25.00%
477,Tim Melville\melviti01,29,COL,3.94,62.90%,23.70%,18.90%,28.20%,29.30%,76.30%,48.00%,75.30%,66.40%,5.60%,21.00%,12.50%
478,Yohander Mendez*\mendeyo01,24,TEX,4.55,49.00%,36.70%,26.50%,20.40%,16.30%,63.30%,31.00%,58.10%,54.50%,9.10%,13.60%,12.50%
479,Conner Menez*\menezco01,24,SFG,4.37,60.50%,28.50%,19.70%,31.60%,20.20%,71.50%,43.30%,72.50%,58.90%,5.50%,21.90%,18.20%
480,Daniel Mengden\mengdda01,26,OAK,4,61.50%,30.10%,10.50%,29.80%,29.60%,69.90%,43.00%,84.90%,61.10%,4.60%,22.10%,40.50%
481,Keynan Middleton\middlke01,25,LAA,4.33,56.60%,18.50%,18.50%,38.30%,24.70%,81.50%,46.20%,77.30%,51.50%,9.10%,21.20%,16.70%
482,Miles Mikolas\mikolmi01,30,STL,3.75,66.40%,25.80%,16.10%,27.80%,30.30%,74.20%,49.30%,78.30%,65.70%,2.70%,25.10%,25.00%
483,Wade Miley*\mileywa01,32,HOU,4.12,60.70%,26.40%,16.80%,28.20%,28.50%,73.60%,44.70%,77.10%,55.80%,5.10%,18.60%,26.40%
484,Andrew Miller*\millean01,34,STL,4.12,63.00%,30.20%,21.40%,27.00%,21.40%,69.80%,43.90%,69.30%,58.10%,5.50%,26.70%,22.90%
485,Justin Miller\milleju02,32,WSN,4.23,59.30%,23.90%,17.20%,29.40%,29.40%,76.10%,45.10%,77.40%,58.50%,4.60%,20.00%,9.10%
486,Shelby Miller\millesh01,28,TEX,3.93,61.30%,27.00%,13.60%,29.60%,29.80%,73.00%,44.80%,81.40%,59.10%,8.20%,27.70%,26.70%
487,Alec Mills\millsal02,27,CHC,3.64,64.40%,26.10%,20.80%,27.20%,25.80%,73.90%,47.60%,71.90%,67.10%,4.60%,23.70%,35.70%
488,Hoby Milner*\milneho01,28,TBR,4.12,62.90%,36.40%,9.10%,27.30%,27.30%,63.60%,40.00%,85.70%,64.70%,11.80%,23.50%,66.70%
489,Tommy Milone*\milonto01,32,SEA,3.85,65.70%,28.30%,16.30%,26.30%,29.00%,71.70%,47.10%,77.20%,71.60%,2.90%,28.00%,21.30%
490,Juan Minaya\minayju01,28,CHW,3.79,63.80%,23.60%,17.00%,31.50%,27.90%,76.40%,48.70%,77.70%,53.20%,3.20%,25.40%,18.50%
491,Mike Minor*\minormi01,31,TEX,3.89,64.70%,26.10%,19.40%,27.40%,27.10%,73.90%,47.80%,73.80%,61.00%,3.60%,27.20%,26.00%
492,A.J. Minter*\minteaj01,25,ATL,4,63.30%,21.20%,23.90%,31.20%,23.70%,78.80%,49.80%,69.60%,54.40%,6.10%,22.40%,20.00%
493,Frankie Montas\montafr02,26,OAK,3.77,65.00%,24.20%,19.70%,28.70%,27.40%,75.80%,49.20%,74.00%,60.70%,4.30%,24.90%,19.40%
494,Rafael Montero\montera01,28,TEX,4.03,63.80%,26.60%,21.80%,27.00%,24.60%,73.40%,46.80%,70.20%,64.90%,4.40%,19.30%,5.90%
495,Jordan Montgomery*\montgjo01,26,NYY,4.32,62.20%,25.50%,21.60%,25.50%,27.50%,74.50%,46.30%,71.10%,57.90%,0.00%,26.30%,40.00%
496,Mike Montgomery*\montgmi01,29,TOT,3.9,61.70%,26.80%,16.00%,26.90%,30.30%,73.20%,45.20%,78.10%,62.20%,5.90%,23.50%,14.50%
497,Andrew Moore\moorean02,25,SEA,3.9,62.80%,34.70%,8.20%,22.40%,34.70%,65.30%,41.00%,87.50%,70.00%,5.00%,15.00%,50.00%
498,Dylan Moore\mooredy01,26,SEA,3.5,57.10%,20.00%,5.00%,35.00%,40.00%,80.00%,45.70%,93.80%,70.00%,0.00%,20.00%,
499,Matt Moore*\moorema02,30,DET,3.55,68.40%,25.00%,23.80%,22.50%,28.80%,75.00%,51.30%,68.30%,63.60%,3.00%,21.20%,0.00%
500,Kendrys Morales\moralke01,36,TOT,3,47.60%,10.00%,10.00%,40.00%,40.00%,90.00%,42.90%,88.90%,57.10%,0.00%,0.00%,
501,Brian Moran*\moranbr01,30,MIA,3.86,62.50%,22.90%,22.90%,32.90%,21.40%,77.10%,48.20%,70.40%,51.70%,6.90%,20.70%,30.00%
502,Adrian Morejon*\morejad01,20,SDP,3.67,66.20%,25.50%,14.70%,30.40%,29.40%,74.50%,49.40%,80.30%,64.30%,4.80%,19.00%,55.60%
503,Adam Morgan*\morgaad01,29,PHI,3.8,67.00%,24.80%,25.20%,24.80%,25.20%,75.20%,50.30%,66.50%,64.80%,4.90%,32.00%,13.80%
504,Mike Morin\morinmi01,28,TOT,3.45,68.10%,21.10%,17.00%,27.50%,34.40%,78.90%,53.80%,78.50%,68.10%,1.40%,22.90%,26.90%
505,Reyes Moronta\moronre01,26,SFG,4.23,60.80%,29.00%,20.90%,28.00%,22.20%,71.00%,43.20%,70.60%,58.90%,5.30%,33.30%,31.40%
506,Charlie Morton\mortoch02,35,TBR,3.97,66.10%,28.30%,21.30%,27.30%,23.20%,71.70%,47.40%,70.40%,62.70%,3.50%,33.20%,24.60%
507,Andres Munoz\munozan01,20,SDP,4.29,64.70%,22.70%,24.50%,32.00%,20.80%,77.30%,50.00%,68.30%,66.00%,5.20%,37.10%,16.70%
508,John Ryan Murphy\murphjr01,28,TOT,3.18,62.90%,25.00%,6.80%,25.00%,43.20%,75.00%,47.10%,90.90%,50.00%,13.60%,4.50%,
509,Tom Murphy\murphto04,28,SEA,3.82,69.00%,10.30%,31.00%,31.00%,27.60%,89.70%,61.90%,65.40%,72.70%,0.00%,36.40%,0.00%
510,Harrison Musgrave*\musgrha01,27,COL,4.43,58.70%,25.40%,15.60%,36.10%,23.00%,74.60%,43.80%,79.10%,55.30%,6.40%,17.00%,41.70%
511,Joe Musgrove\musgrjo01,26,PIT,3.7,67.90%,23.50%,18.80%,29.30%,28.40%,76.50%,51.90%,75.40%,65.50%,2.80%,30.50%,19.10%
512,Jimmy Nelson\nelsoji02,30,MIL,3.89,56.40%,34.30%,18.30%,21.30%,26.10%,65.70%,37.00%,72.20%,50.50%,13.30%,22.90%,23.10%
513,Hector Neris\nerishe01,30,PHI,4.09,63.70%,23.60%,29.30%,25.40%,21.80%,76.40%,48.70%,61.70%,60.00%,5.10%,32.40%,14.60%
514,Pat Neshek\neshepa01,38,PHI,3.58,69.30%,29.10%,14.80%,21.40%,34.70%,70.90%,49.10%,79.10%,67.10%,1.30%,31.60%,11.10%
515,Dovydas Neverauskas\neverdo01,26,PIT,4,61.80%,22.90%,21.40%,29.80%,26.00%,77.10%,47.60%,72.30%,50.90%,1.90%,24.50%,50.00%
516,Jake Newberry\newbeja01,24,KCR,3.93,61.80%,25.80%,20.40%,26.40%,27.30%,74.20%,45.80%,72.50%,53.30%,3.60%,24.10%,17.20%
517,Sean Newcomb*\newcose01,26,ATL,4.02,62.70%,26.80%,16.80%,30.00%,26.50%,73.20%,45.90%,77.10%,56.80%,5.80%,25.20%,20.00%
518,Juan Nicasio\nicasju01,32,PHI,3.83,64.40%,23.20%,16.10%,32.90%,27.90%,76.80%,49.50%,79.10%,64.10%,5.10%,30.00%,13.30%
519,Hector Noesi\noesihe01,32,MIA,4.01,62.80%,19.90%,21.20%,31.70%,27.20%,80.10%,50.30%,73.60%,66.10%,3.20%,28.20%,16.70%
520,Stephen Nogosek\nogosst01,24,NYM,4.15,61.00%,27.90%,10.50%,31.40%,30.20%,72.10%,44.00%,85.50%,41.20%,5.90%,8.80%,83.30%
521,Aaron Nola\nolaaa01,26,PHI,3.9,65.10%,31.50%,18.30%,25.60%,24.50%,68.50%,44.60%,73.30%,62.20%,4.20%,29.50%,35.40%
522,Daniel Norris*\norrida01,26,DET,3.87,64.90%,26.70%,17.00%,27.50%,28.90%,73.30%,47.60%,76.90%,64.40%,2.80%,25.40%,16.00%
523,James Norwood\norwoja01,25,CHC,4.68,56.30%,20.70%,21.60%,36.20%,21.60%,79.30%,44.70%,72.80%,72.70%,6.80%,29.50%,0.00%
524,Ivan Nova\novaiv01,32,CHW,3.72,63.70%,23.30%,14.20%,29.30%,33.20%,76.70%,48.90%,81.60%,60.50%,3.60%,18.90%,29.80%
525,Eduardo Nunez\nunezed02,32,BOS,3.5,64.30%,33.30%,11.10%,11.10%,44.40%,66.70%,42.90%,83.30%,75.00%,0.00%,25.00%,
526,Darren O'Day\odayda01,36,ATL,3.71,64.10%,20.00%,28.00%,26.00%,26.00%,80.00%,51.30%,65.00%,81.00%,0.00%,42.90%,0.00%
527,Ryan O'Rourke*\orourry01,31,NYM,3.5,38.10%,50.00%,0.00%,25.00%,25.00%,50.00%,19.00%,100.00%,33.30%,33.30%,0.00%,100.00%
528,Scott Oberg\obergsc01,29,COL,4.01,64.70%,26.90%,20.70%,28.10%,24.40%,73.10%,47.30%,71.80%,63.40%,3.60%,26.80%,17.20%
529,Jake Odorizzi\odorija01,29,MIN,4.22,63.70%,22.70%,21.40%,32.10%,23.80%,77.30%,49.30%,72.30%,58.20%,3.80%,24.40%,21.90%
530,Seunghwan Oh\ohse01,36,COL,4.19,68.10%,23.60%,21.70%,28.70%,26.00%,76.40%,52.00%,71.60%,66.30%,6.70%,31.50%,25.00%
531,Tyler Olson*\olsonty01,29,CLE,3.88,63.40%,29.70%,18.00%,25.00%,27.30%,70.30%,44.60%,74.40%,62.10%,5.00%,33.60%,14.30%
532,Luis Ortiz\ortizlu02,23,BAL,4.44,55.00%,27.30%,11.40%,38.60%,22.70%,72.70%,40.00%,84.40%,50.00%,27.80%,27.80%,66.70%
533,Josh Osich*\osichjo01,30,CHW,3.88,64.80%,25.00%,20.80%,25.50%,28.70%,75.00%,48.60%,72.30%,64.30%,3.70%,22.10%,29.50%
534,Jose Osuna\osunajo01,26,PIT,3.44,64.50%,25.00%,5.00%,25.00%,45.00%,75.00%,48.40%,93.30%,66.70%,11.10%,22.20%,
535,Roberto Osuna\osunaro01,24,HOU,3.8,66.80%,19.20%,27.10%,27.90%,25.90%,80.80%,54.00%,66.50%,66.00%,1.60%,30.40%,17.80%
536,Corey Oswalt\oswalco01,25,NYM,4.09,55.40%,24.70%,11.70%,33.80%,29.90%,75.30%,41.70%,84.50%,47.10%,5.90%,11.80%,40.00%
537,Dan Otero\oteroda01,34,CLE,3.18,66.10%,26.20%,9.50%,24.00%,40.40%,73.80%,48.80%,87.20%,60.30%,0.80%,11.50%,37.50%
538,Adam Ottavino\ottavad01,33,NYY,4.08,60.80%,36.20%,19.30%,22.70%,21.70%,63.80%,38.80%,69.70%,53.20%,5.60%,26.40%,36.40%
539,Chris Owings\owingch01,27,TOT,3.67,63.60%,17.90%,3.60%,39.30%,39.30%,82.10%,52.30%,95.70%,66.70%,8.30%,33.30%,
540,Chris Paddack\paddach01,23,SDP,4.01,69.60%,24.70%,18.60%,32.90%,23.80%,75.30%,52.40%,75.30%,71.30%,1.90%,40.00%,17.00%
541,Emilio Pagan\paganem01,28,TBR,4.03,70.00%,21.60%,27.50%,30.00%,20.80%,78.40%,54.90%,64.90%,65.50%,1.90%,37.80%,16.70%
542,Joe Palumbo*\palumjo01,24,TEX,4.07,60.90%,27.40%,16.40%,31.30%,24.90%,72.60%,44.20%,77.40%,50.60%,4.90%,24.70%,33.30%
543,Thomas Pannone*\pannoth01,25,TOR,3.86,63.90%,26.60%,18.70%,27.40%,27.30%,73.40%,46.90%,74.50%,58.50%,5.80%,32.60%,27.50%
544,Blake Parker\parkebl01,34,TOT,3.97,61.90%,29.00%,19.30%,25.50%,26.10%,71.00%,43.90%,72.80%,58.80%,4.30%,22.60%,20.00%
545,Gerardo Parra*\parrage01,32,TOT,5,32.00%,37.50%,37.50%,12.50%,12.50%,62.50%,20.00%,40.00%,0.00%,20.00%,0.00%,
546,Wes Parsons\parsowe01,26,TOT,4.06,58.70%,24.90%,16.30%,32.10%,26.70%,75.10%,44.10%,78.30%,52.20%,4.50%,19.10%,19.20%
547,James Paxton*\paxtoja01,30,NYY,4.18,64.40%,22.50%,23.90%,30.90%,22.70%,77.50%,49.90%,69.20%,65.30%,2.50%,33.10%,17.20%
548,Joel Payamps\payamjo01,25,ARI,3.88,53.00%,37.10%,14.30%,17.10%,31.40%,62.90%,33.30%,77.30%,47.10%,11.80%,11.80%,33.30%
549,Pedro Payano\payanpe01,24,TEX,4.01,58.80%,27.30%,19.20%,24.90%,28.60%,72.70%,42.70%,73.60%,55.80%,6.70%,15.40%,11.80%
550,James Pazos*\pazosja01,28,COL,3.82,63.10%,25.50%,23.40%,24.50%,26.60%,74.50%,47.00%,68.60%,48.70%,5.10%,23.10%,30.00%
551,Brad Peacock\peacobr01,31,HOU,3.94,62.90%,31.60%,14.80%,27.20%,26.40%,68.40%,43.00%,78.30%,63.20%,5.50%,23.20%,38.50%
552,Felix Pena\penafe01,29,LAA,3.86,62.10%,27.50%,21.30%,23.90%,27.30%,72.50%,45.00%,70.60%,58.00%,5.20%,20.60%,15.80%
553,Freddy Peralta\peralfr01,23,MIL,4.19,65.20%,24.40%,22.20%,31.60%,21.90%,75.60%,49.30%,70.70%,62.00%,2.90%,29.30%,16.50%
554,Wandy Peralta*\peralwa01,27,TOT,3.82,61.50%,21.30%,26.00%,22.50%,30.20%,78.70%,48.40%,67.00%,51.70%,4.70%,19.80%,9.40%
555,Wily Peralta\peralwi01,30,KCR,3.8,59.90%,25.80%,16.40%,25.30%,32.50%,74.20%,44.40%,77.90%,56.50%,6.20%,18.10%,12.50%
556,Jose Peraza\perazjo01,25,CIN,3.75,60.00%,11.10%,0.00%,44.40%,44.40%,88.90%,53.30%,100.00%,75.00%,0.00%,25.00%,
557,Luis Perdomo\perdolu02,26,SDP,3.49,67.80%,28.10%,14.30%,26.40%,31.20%,71.90%,48.80%,80.20%,68.60%,2.30%,27.10%,41.80%
558,Cionel Perez*\perezci01,23,HOU,4.08,60.10%,24.50%,18.40%,25.50%,31.60%,75.50%,45.40%,75.70%,65.00%,7.50%,20.00%,28.60%
559,Hernan Perez\perezhe01,28,MIL,3.91,51.20%,22.70%,13.60%,27.30%,36.40%,77.30%,39.50%,82.40%,54.50%,0.00%,9.10%,0.00%
560,Martin Perez*\perezma02,28,MIN,3.76,64.80%,24.40%,16.40%,29.50%,29.60%,75.60%,49.00%,78.30%,64.30%,3.90%,28.00%,29.60%
561,Oliver Perez*\perezol01,37,CLE,3.77,68.80%,27.40%,20.50%,27.60%,24.50%,72.60%,49.90%,71.80%,64.20%,2.90%,39.90%,20.80%
562,Dillon Peters*\peterdi01,26,LAA,3.88,63.80%,26.40%,15.00%,28.90%,29.60%,73.60%,46.90%,79.60%,62.80%,4.60%,26.50%,18.20%
563,Tim Peterson\peterti01,28,NYM,4.06,55.60%,25.30%,17.70%,26.60%,30.40%,74.70%,41.50%,76.30%,42.90%,8.60%,20.00%,33.30%
564,Yusmeiro Petit\petityu01,34,OAK,3.75,65.80%,24.60%,19.10%,26.40%,29.90%,75.40%,49.60%,74.70%,64.60%,2.30%,23.40%,25.40%
565,Jake Petricka\petrija01,31,MIL,3.28,53.40%,30.20%,12.70%,14.30%,42.90%,69.80%,37.30%,81.80%,52.80%,5.60%,8.30%,33.30%
566,David Phelps\phelpda01,32,TOT,4.33,60.70%,31.40%,13.90%,30.80%,23.90%,68.60%,41.70%,79.80%,58.80%,6.10%,29.10%,38.90%
567,Evan Phillips\phillev01,24,BAL,4.05,60.10%,28.40%,21.70%,27.90%,22.00%,71.60%,43.00%,69.70%,57.90%,7.90%,28.60%,30.00%
568,Michael Pineda\pinedmi01,30,MIN,3.79,67.70%,22.30%,19.90%,30.10%,27.70%,77.70%,52.60%,74.40%,64.20%,2.30%,26.10%,10.70%
569,Ricardo Pinto\pintori01,25,TBR,3.46,64.40%,17.20%,13.80%,31.00%,37.90%,82.80%,53.30%,83.30%,61.50%,15.40%,61.50%,
570,Nick Pivetta\pivetni01,26,PHI,3.85,62.80%,26.50%,17.90%,27.10%,28.40%,73.50%,46.10%,75.60%,60.80%,4.00%,24.00%,16.90%
571,Kevin Plawecki\plaweke01,28,CLE,3.17,78.90%,26.70%,6.70%,26.70%,40.00%,73.30%,57.90%,90.90%,83.30%,0.00%,66.70%,
572,Zach Plesac\plesaza01,24,CLE,3.98,64.70%,26.50%,15.80%,29.60%,28.10%,73.50%,47.60%,78.40%,61.10%,4.00%,25.90%,29.50%
573,Adam Plutko\plutkad01,27,CLE,3.88,65.70%,24.70%,14.20%,31.10%,30.10%,75.30%,49.40%,81.20%,64.90%,3.00%,26.40%,23.10%
574,Colin Poche*\pocheco01,25,TBR,4.18,67.00%,19.90%,28.00%,33.10%,19.00%,80.10%,53.70%,65.10%,65.40%,3.80%,41.80%,19.40%
575,Drew Pomeranz*\pomerdr01,30,TOT,4.29,63.80%,28.30%,19.20%,30.80%,21.60%,71.70%,45.80%,73.20%,57.50%,4.20%,28.50%,27.00%
576,Daniel Ponce de Leon\ponceda01,27,STL,4.22,63.00%,21.60%,21.00%,34.70%,22.70%,78.40%,49.40%,73.20%,55.90%,6.90%,27.90%,32.70%
577,Sean Poppen\poppese01,25,MIN,3.72,59.00%,31.60%,17.70%,22.80%,27.80%,68.40%,40.30%,74.10%,38.90%,11.10%,13.90%,22.20%
578,Rick Porcello\porceri01,30,BOS,3.85,67.00%,26.30%,13.30%,31.50%,28.90%,73.70%,49.40%,82.00%,67.60%,2.30%,32.00%,38.50%
579,Brooks Pounders\poundbr01,28,NYM,3.86,60.00%,22.20%,18.50%,27.20%,32.10%,77.80%,46.70%,76.20%,54.30%,0.00%,8.60%,0.00%
580,Bobby Poyner*\poynebo01,26,BOS,4.59,64.40%,24.80%,19.30%,33.80%,22.10%,75.20%,48.40%,74.30%,71.40%,0.00%,44.90%,18.20%
581,Ryan Pressly\pressry01,30,HOU,3.95,68.70%,26.00%,26.60%,25.30%,22.00%,74.00%,50.80%,64.10%,61.80%,2.40%,27.40%,29.20%
582,David Price*\priceda01,33,BOS,4.06,65.50%,26.70%,19.00%,30.10%,24.20%,73.30%,48.00%,74.00%,67.80%,2.20%,32.20%,32.80%
