Rk,Name,Age,Tm,Pit/PA,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,AS/Pit,Con,1st%,30%,2%,L/SO%
594,Noe Ramirez\ramirno01,29,LAA,4,65.70%,30.90%,21.50%,23.70%,23.80%,69.10%,45.40%,68.80%,65.10%,3.90%,28.10%,19.00%
595,Yefry Ramirez\ramirye01,25,TOT,3.9,57.50%,24.70%,21.00%,27.30%,27.00%,75.30%,43.30%,72.10%,45.40%,9.20%,15.10%,14.80%
596,Edubray Ramos\ramosed02,26,PHI,4.13,63.20%,26.70%,16.10%,29.40%,27.80%,73.30%,46.30%,78.00%,63.80%,4.30%,27.50%,9.10%
597,Matt Ramsey\ramsema01,29,LAA,3.67,63.60%,42.90%,14.30%,14.30%,28.60%,57.10%,36.40%,75.00%,33.30%,33.30%,0.00%,0.00%
598,Robbie Ray*\rayro02,27,ARI,4.08,62.70%,27.60%,23.70%,26.70%,22.00%,72.40%,45.40%,67.30%,59.30%,5.30%,29.60%,26.80%
599,AJ Reed*\reedaj01,26,CHW,4,58.30%,14.30%,14.30%,28.60%,42.90%,85.70%,50.00%,83.30%,33.30%,0.00%,0.00%,
600,Cody Reed*\reedco01,26,CIN,3.52,70.50%,33.90%,14.50%,24.20%,27.40%,66.10%,46.60%,78.00%,64.00%,12.00%,20.00%,14.30%
601,Sean Reid-Foley\reidfse01,23,TOR,4.08,62.10%,24.20%,17.90%,31.80%,26.10%,75.80%,47.10%,76.40%,58.70%,6.70%,22.00%,17.90%
602,Zac Reininger\reiniza01,26,DET,3.81,59.50%,26.80%,12.90%,26.50%,33.80%,73.20%,43.50%,82.30%,60.00%,6.40%,17.90%,41.20%
603,Alex Reyes\reyesal02,24,STL,4.18,49.30%,28.60%,11.40%,31.40%,28.60%,71.40%,35.20%,84.00%,70.60%,11.80%,35.30%,0.00%
604,Gerardo Reyes\reyesge01,26,SDP,3.91,65.50%,21.00%,27.70%,29.70%,21.70%,79.00%,51.70%,65.00%,59.00%,3.40%,32.50%,18.40%
605,Mark Reynolds\reynoma01,35,COL,3,47.60%,30.00%,0.00%,20.00%,50.00%,70.00%,33.30%,100.00%,57.10%,0.00%,14.30%,
606,Jacob Rhame\rhameja01,26,NYM,3.9,55.40%,22.40%,14.90%,38.80%,23.90%,77.60%,43.00%,80.80%,58.10%,9.70%,25.80%,20.00%
607,Clayton Richard*\richacl01,35,TOR,3.6,62.60%,25.20%,11.00%,29.40%,34.40%,74.80%,46.80%,85.30%,58.90%,3.50%,19.30%,22.70%
608,Garrett Richards\richaga01,31,SDP,3.83,61.10%,37.50%,18.80%,18.80%,25.00%,62.50%,38.20%,70.00%,58.50%,7.30%,29.30%,45.50%
609,Trevor Richards\richatr01,26,TOT,3.93,64.00%,23.40%,20.10%,29.70%,26.70%,76.60%,49.00%,73.70%,58.10%,3.40%,24.10%,12.60%
610,Yacksel Rios\riosya01,26,TOT,3.69,66.50%,17.80%,23.60%,32.50%,26.10%,82.20%,54.70%,71.30%,67.20%,4.70%,46.90%,0.00%
611,Tanner Roark\roarkta01,32,TOT,4.14,61.60%,25.60%,15.70%,31.70%,27.10%,74.40%,45.90%,79.00%,57.10%,3.90%,21.00%,35.40%
612,Daniel Robertson\roberda10,25,TBR,2.33,71.40%,20.00%,0.00%,20.00%,60.00%,80.00%,57.10%,100.00%,66.70%,0.00%,33.30%,
613,David Robertson\roberda08,34,PHI,4.12,58.10%,34.20%,19.00%,20.30%,26.60%,65.80%,38.20%,71.20%,54.50%,3.00%,15.20%,16.70%
614,Hansel Robles\robleha01,28,LAA,4.08,66.40%,24.00%,20.00%,31.00%,24.90%,76.00%,50.50%,73.70%,60.90%,2.80%,29.20%,28.00%
615,Brady Rodgers\rodgebr01,28,HOU,4.56,64.90%,20.30%,17.60%,37.80%,24.30%,79.70%,51.80%,78.00%,64.00%,4.00%,48.00%,25.00%
616,Fernando Rodney\rodnefe01,42,TOT,4.21,61.60%,27.30%,19.30%,29.00%,24.40%,72.70%,44.70%,73.50%,59.50%,7.10%,32.40%,16.30%
617,Carlos Rodon*\rodonca01,26,CHW,4.41,61.60%,25.40%,21.20%,31.50%,21.90%,74.60%,46.00%,71.60%,55.10%,4.40%,24.10%,17.40%
618,Dereck Rodriguez\rodride01,27,SFG,3.79,61.90%,26.10%,15.50%,26.40%,31.90%,73.90%,45.70%,79.00%,57.00%,2.70%,23.40%,29.60%
619,Eduardo Rodriguez*\rodried05,26,BOS,4.05,62.60%,25.90%,20.30%,28.10%,25.80%,74.10%,46.40%,72.60%,63.20%,3.50%,27.30%,35.70%
620,Jefry Rodriguez\rodrije01,25,CLE,3.84,61.30%,22.90%,14.20%,31.90%,31.00%,77.10%,47.30%,81.60%,52.90%,7.80%,16.20%,21.20%
621,Jose Rodriguez\rodrijo07,23,LAA,3.92,64.40%,23.10%,17.00%,31.60%,28.30%,76.90%,49.50%,77.90%,64.30%,2.40%,27.40%,7.70%
622,Richard Rodriguez\rodriri05,29,PIT,4.08,65.10%,25.00%,17.70%,31.30%,26.00%,75.00%,48.90%,76.40%,66.00%,3.50%,30.20%,14.30%
623,Sean Rodriguez\rodrise01,34,PHI,2.75,81.80%,33.30%,22.20%,11.10%,33.30%,66.70%,54.50%,66.70%,75.00%,0.00%,50.00%,0.00%
624,Chaz Roe\roech01,32,TBR,4.04,62.10%,39.00%,16.90%,21.10%,23.00%,61.00%,37.80%,72.30%,54.60%,6.60%,28.40%,35.40%
625,Josh Rogers*\rogerjo01,24,BAL,3.81,60.50%,25.20%,10.10%,30.80%,34.00%,74.80%,45.20%,86.60%,63.80%,5.80%,13.00%,60.00%
626,Taylor Rogers*\rogerta01,28,MIN,3.83,69.10%,34.50%,17.00%,25.30%,23.20%,65.50%,45.30%,74.10%,68.00%,2.20%,34.50%,28.90%
627,Tyler Rogers\rogerty01,28,SFG,3.63,70.10%,28.70%,11.80%,31.50%,28.10%,71.30%,50.00%,83.50%,67.10%,0.00%,37.10%,25.00%
628,Jordan Romano\romanjo03,26,TOR,4.15,61.40%,22.00%,23.00%,33.50%,21.50%,78.00%,47.90%,70.50%,52.00%,4.00%,17.30%,9.50%
629,Sal Romano\romansa01,25,CIN,3.92,60.80%,33.30%,12.40%,26.30%,28.00%,66.70%,40.50%,81.50%,51.30%,10.30%,24.40%,50.00%
630,Fernando Romero\romerfe01,24,MIN,3.81,59.00%,25.60%,22.00%,26.80%,25.60%,74.40%,43.90%,70.50%,49.30%,5.50%,17.80%,27.80%
631,Austin Romine\rominau01,30,NYY,3,71.40%,20.00%,0.00%,33.30%,46.70%,80.00%,57.10%,100.00%,71.40%,0.00%,28.60%,
632,Sergio Romo\romose01,36,TOT,4,66.30%,26.40%,22.30%,25.60%,25.80%,73.60%,48.80%,69.80%,64.70%,3.20%,29.70%,16.70%
633,Hector Rondon\rondohe01,31,HOU,3.85,62.80%,24.00%,17.10%,29.20%,29.60%,76.00%,47.70%,77.40%,60.50%,3.90%,27.50%,20.80%
634,Jose Rondon\rondojo02,25,TOT,3,53.30%,37.50%,0.00%,0.00%,62.50%,62.50%,33.30%,100.00%,60.00%,20.00%,0.00%,
635,Adonis Rosa\rosaad01,24,NYY,4.57,53.10%,5.90%,29.40%,35.30%,29.40%,94.10%,50.00%,68.80%,28.60%,0.00%,14.30%,0.00%
636,Randy Rosario*\rosarra01,25,TOT,3.54,64.10%,22.40%,16.80%,29.40%,31.50%,77.60%,49.80%,78.40%,52.40%,1.60%,19.00%,23.10%
637,Trevor Rosenthal\rosentr01,29,TOT,4.76,53.10%,30.20%,20.50%,31.60%,17.70%,69.80%,37.00%,70.70%,47.10%,16.50%,22.40%,11.80%
638,Joe Ross\rossjo01,26,WSN,3.86,61.10%,22.70%,18.10%,30.20%,28.90%,77.30%,47.20%,76.50%,59.30%,6.10%,25.80%,22.80%
639,Tyson Ross\rossty01,32,DET,3.65,62.50%,31.50%,11.60%,25.30%,31.70%,68.50%,42.90%,83.10%,59.50%,6.70%,23.90%,16.00%
640,Zac Rosscup*\rosscza01,31,TOT,4.28,56.00%,26.70%,30.70%,20.90%,21.80%,73.30%,41.00%,58.20%,40.40%,13.80%,19.10%,0.00%
641,Jose Ruiz\ruizjo01,24,CHW,3.79,64.10%,21.70%,19.00%,30.80%,28.40%,78.30%,50.10%,75.70%,55.80%,5.50%,26.60%,22.90%
642,Nick Rumbelow\rumbeni01,27,SEA,4.44,57.50%,39.10%,8.70%,26.10%,26.10%,60.90%,35.00%,85.70%,77.80%,11.10%,22.20%,100.00%
643,Chris Rusin*\rusinch01,32,COL,2.78,56.00%,7.10%,14.30%,21.40%,57.10%,92.90%,52.00%,84.60%,33.30%,0.00%,0.00%,
644,Kyle Ryan*\ryanky01,27,CHC,4.02,61.60%,29.40%,16.60%,27.40%,26.50%,70.60%,43.50%,76.40%,61.10%,4.20%,26.00%,29.30%
645,Hyun-Jin Ryu*\ryuhy01,32,LAD,3.74,66.50%,25.30%,18.60%,26.60%,29.60%,74.70%,49.70%,75.10%,61.80%,2.90%,23.90%,21.50%
646,CC Sabathia*\sabatc.01,38,NYY,3.7,63.90%,25.70%,18.60%,26.90%,28.80%,74.30%,47.50%,74.90%,61.50%,5.10%,23.70%,22.40%
647,Casey Sadler\sadleca02,28,TOT,3.59,62.90%,26.70%,16.70%,23.30%,33.30%,73.30%,46.10%,77.30%,55.20%,3.60%,25.80%,29.00%
648,Connor Sadzeck\sadzeco01,27,SEA,3.96,61.10%,27.00%,18.50%,30.10%,24.30%,73.00%,44.60%,74.60%,57.00%,3.70%,14.00%,22.20%
649,Fernando Salas\salasfe01,34,PHI,4.07,63.90%,17.90%,15.40%,35.90%,30.80%,82.10%,52.50%,81.30%,60.00%,0.00%,26.70%,0.00%
650,Danny Salazar\salazda01,29,CLE,3.88,54.50%,33.30%,8.30%,25.00%,33.30%,66.70%,36.40%,87.50%,23.50%,11.80%,0.00%,0.00%
651,Chris Sale*\salech01,30,BOS,4.02,66.60%,28.80%,22.80%,27.50%,21.00%,71.20%,47.40%,68.00%,65.80%,2.90%,31.10%,28.90%
652,Jeff Samardzija\samarje01,34,SFG,4.05,63.90%,24.40%,15.20%,32.00%,28.40%,75.60%,48.30%,79.90%,60.80%,4.00%,26.40%,29.30%
653,Adrian Sampson\sampsad01,27,TEX,3.64,64.50%,23.30%,16.40%,28.80%,31.40%,76.70%,49.50%,78.60%,60.40%,4.10%,20.70%,13.90%
654,Aaron Sanchez\sanchaa01,26,TOT,3.81,61.50%,27.60%,15.80%,27.60%,29.00%,72.40%,44.50%,78.20%,59.80%,5.00%,20.30%,21.70%
655,Anibal Sanchez\sanchan01,35,WSN,3.77,64.20%,24.50%,16.90%,28.60%,29.90%,75.50%,48.40%,77.60%,63.70%,4.30%,22.30%,26.10%
656,Pablo Sandoval\sandopa01,32,SFG,3.33,70.00%,14.30%,0.00%,57.10%,28.60%,85.70%,60.00%,100.00%,66.70%,0.00%,0.00%,
657,Patrick Sandoval*\sandopa02,22,LAA,4.22,59.90%,27.10%,23.80%,24.10%,25.00%,72.90%,43.70%,67.30%,53.80%,4.10%,24.30%,21.40%
658,Dennis Santana\santade01,23,LAD,3.85,59.60%,25.80%,22.60%,27.40%,24.20%,74.20%,44.20%,69.60%,59.30%,7.40%,18.50%,33.30%
659,Ervin Santana\santaer01,36,CHW,3.91,58.40%,21.20%,10.30%,32.20%,36.30%,78.80%,46.00%,87.00%,56.30%,4.70%,15.60%,20.00%
660,Hector Santiago*\santihe01,31,TOT,4.39,62.20%,28.50%,20.00%,28.80%,22.70%,71.50%,44.50%,72.00%,59.50%,5.50%,33.10%,22.50%
661,Josh Sborz\sborzjo01,25,LAD,4.63,65.90%,23.00%,16.40%,36.90%,23.80%,77.00%,50.80%,78.70%,52.50%,5.00%,35.00%,28.60%
662,Max Scherzer\scherma01,34,WSN,3.99,69.00%,23.90%,25.80%,28.80%,21.40%,76.10%,52.50%,66.00%,70.20%,2.60%,36.60%,18.90%
663,Brian Schlitter\schlibr01,33,OAK,3.66,65.30%,26.50%,13.30%,28.60%,31.60%,73.50%,48.00%,81.90%,63.40%,2.40%,17.10%,33.30%
664,John Schreiber\schrejo01,25,DET,4.25,63.70%,30.00%,20.00%,28.10%,21.90%,70.00%,44.60%,71.40%,57.60%,1.70%,27.10%,26.30%
665,Jaime Schultz\schulja02,28,LAD,4.36,60.40%,19.00%,19.00%,34.50%,27.60%,81.00%,49.00%,76.60%,45.50%,0.00%,9.10%,0.00%
666,Robby Scott*\scottro02,29,ARI,4.43,54.90%,28.90%,20.00%,27.80%,23.30%,71.10%,39.00%,71.90%,59.50%,8.10%,21.60%,33.30%
667,Tanner Scott*\scottta01,24,BAL,3.76,58.70%,21.70%,26.80%,27.90%,23.50%,78.30%,46.00%,65.70%,53.70%,13.00%,30.10%,21.60%
668,Tayler Scott\scottta02,27,TOT,3.81,59.30%,25.20%,16.20%,28.10%,30.50%,74.80%,44.40%,78.30%,52.70%,6.50%,20.40%,14.30%
669,Sam Selman*\selmasa01,28,SFG,4.25,56.70%,30.20%,21.70%,23.60%,24.50%,69.80%,39.60%,68.90%,50.00%,9.10%,18.20%,10.00%
670,Antonio Senzatela\senzaan01,24,COL,3.84,60.40%,25.30%,13.20%,28.60%,32.90%,74.70%,45.10%,82.30%,56.20%,6.20%,19.20%,21.10%
671,Luis Severino\severlu01,25,NYY,4.56,66.20%,29.70%,19.30%,34.50%,16.60%,70.30%,46.60%,72.50%,66.70%,0.00%,50.00%,17.60%
672,Paul Sewald\sewalpa01,29,NYM,4.13,65.50%,27.30%,15.30%,32.40%,25.00%,72.70%,47.60%,79.00%,55.00%,2.50%,23.80%,27.30%
673,Justin Shafer\shafeju01,26,TOR,4.02,61.50%,21.80%,20.70%,31.60%,26.00%,78.20%,48.10%,73.60%,57.70%,7.70%,22.00%,10.30%
674,Bryan Shaw\shawbr01,31,COL,3.8,60.20%,23.10%,19.70%,26.50%,30.70%,76.90%,46.30%,74.30%,55.40%,6.70%,23.40%,8.60%
675,Mike Shawaryn\shawami01,24,BOS,4.48,59.40%,22.60%,27.40%,29.60%,20.40%,77.40%,46.00%,64.60%,53.40%,4.90%,21.40%,13.80%
676,Justus Sheffield*\sheffju01,23,SEA,4.01,61.70%,26.00%,22.20%,25.30%,26.50%,74.00%,45.60%,70.00%,62.50%,3.60%,22.00%,18.90%
677,Chandler Shepherd\shephch01,26,BAL,3.79,66.00%,27.10%,13.80%,31.00%,28.10%,72.90%,48.10%,81.00%,69.00%,3.60%,31.00%,23.50%
678,James Sherfy\sherfji01,27,ARI,3.81,65.50%,33.30%,19.30%,20.80%,26.60%,66.70%,43.70%,71.00%,63.90%,6.00%,25.30%,27.30%
679,Matt Shoemaker\shoemma01,32,TOR,3.83,64.80%,23.60%,21.80%,27.30%,27.30%,76.40%,49.50%,71.50%,67.90%,2.80%,34.90%,16.70%
680,Chasen Shreve*\shrevch01,28,STL,4.2,54.80%,17.40%,8.70%,47.80%,26.10%,82.60%,45.20%,89.50%,40.00%,10.00%,10.00%,0.00%
681,JB Shuck*\shuckja01,32,PIT,2.6,53.80%,28.60%,0.00%,14.30%,57.10%,71.40%,38.50%,100.00%,60.00%,20.00%,20.00%,
682,Lucas Sims\simslu01,25,CIN,4.24,62.60%,24.90%,25.50%,28.50%,21.10%,75.10%,47.00%,66.00%,66.10%,4.00%,36.20%,5.30%
683,Tony Sipp*\sippto01,35,WSN,3.95,61.70%,20.10%,21.00%,30.40%,28.60%,79.90%,49.30%,73.70%,54.30%,5.40%,16.30%,16.70%
684,Tyler Skaggs*\skaggty01,27,LAA,4.13,63.40%,27.00%,15.70%,31.50%,25.80%,73.00%,46.30%,78.50%,61.00%,5.40%,23.20%,17.90%
685,Eric Skoglund*\skogler01,26,KCR,3.91,60.80%,20.40%,9.60%,33.80%,36.30%,79.60%,48.40%,88.00%,58.40%,4.00%,25.70%,25.00%
686,Aaron Slegers\slegeaa01,26,TBR,3.5,66.70%,10.70%,7.10%,42.90%,39.30%,89.30%,59.50%,92.00%,66.70%,0.00%,0.00%,
687,Devin Smeltzer*\smeltde01,23,MIN,3.62,66.70%,25.40%,15.40%,28.30%,30.90%,74.60%,49.70%,79.40%,65.30%,3.00%,29.70%,15.80%
688,Burch Smith\smithbu03,29,TOT,4.01,65.90%,23.20%,18.60%,32.90%,25.40%,76.80%,50.60%,75.80%,58.50%,5.70%,31.10%,5.00%
689,Caleb Smith*\smithca03,27,MIA,4.11,64.60%,23.10%,21.40%,31.60%,24.00%,76.90%,49.70%,72.20%,59.80%,3.40%,30.10%,24.40%
690,Joe Smith\smithjo05,35,HOU,3.58,69.50%,33.10%,14.20%,23.80%,28.90%,66.90%,46.50%,78.80%,74.00%,2.10%,38.50%,22.70%
691,Josh Smith\smithjo07,31,BOS,4.24,61.00%,24.90%,21.30%,26.50%,27.30%,75.10%,45.90%,71.70%,55.00%,6.40%,16.40%,34.50%
692,Josh Smith*\smithjo08,29,TOT,4.45,60.70%,34.70%,13.90%,30.60%,20.80%,65.30%,39.60%,78.80%,54.70%,12.50%,31.30%,42.90%
693,Will Smith*\smithwi04,29,SFG,4.06,66.10%,27.70%,24.80%,27.10%,20.30%,72.30%,47.70%,65.70%,62.30%,4.30%,37.70%,14.60%
694,Drew Smyly*\smylydr01,30,TOT,4.14,61.60%,27.90%,18.70%,27.80%,25.70%,72.10%,44.50%,74.10%,59.60%,4.10%,26.40%,16.70%
695,Cy Sneed\sneedcy01,26,HOU,3.7,68.00%,22.20%,17.10%,32.90%,27.80%,77.80%,52.90%,78.00%,59.10%,2.20%,30.10%,21.70%
696,Blake Snell*\snellbl01,26,TBR,4.26,64.10%,23.70%,29.30%,26.10%,20.90%,76.30%,48.90%,61.60%,67.60%,4.50%,36.50%,15.60%
697,Chad Sobotka\sobotch01,25,ATL,4.21,61.20%,24.60%,26.70%,27.20%,21.40%,75.40%,46.10%,64.60%,63.40%,5.20%,36.60%,5.30%
698,Joakim Soria\soriajo01,35,OAK,4,65.90%,26.90%,21.10%,28.10%,23.90%,73.10%,48.20%,71.20%,63.40%,3.90%,26.50%,22.80%
699,Mike Soroka\sorokmi01,21,ATL,3.65,65.50%,25.50%,17.00%,27.00%,30.50%,74.50%,48.80%,77.20%,63.80%,3.00%,23.10%,27.50%
700,Gregory Soto*\sotogr01,24,DET,4.02,62.00%,25.60%,14.80%,30.80%,28.80%,74.40%,46.10%,80.10%,55.40%,7.20%,26.80%,22.20%
701,Glenn Sparkman\sparkgl01,27,KCR,3.75,63.50%,24.50%,12.90%,29.50%,33.10%,75.50%,47.90%,82.90%,61.70%,2.30%,23.90%,23.50%
702,Gabe Speier*\speiega01,24,KCR,4.64,61.40%,26.60%,18.10%,37.20%,18.10%,73.40%,45.10%,75.40%,54.50%,6.10%,36.40%,30.00%
703,Jeffrey Springs*\sprinje01,26,TEX,4.29,61.70%,25.60%,22.20%,27.80%,24.40%,74.40%,45.90%,70.20%,61.90%,5.80%,27.10%,15.60%
704,Locke St. John*\stjohlo01,26,TEX,4.52,59.10%,22.70%,14.80%,35.20%,27.30%,77.30%,45.60%,80.90%,63.60%,3.00%,33.30%,20.00%
705,Jacob Stallings\stallja01,29,PIT,2.33,71.40%,0.00%,20.00%,20.00%,60.00%,100.00%,71.40%,80.00%,66.70%,0.00%,0.00%,
706,Craig Stammen\stammcr01,35,SDP,3.69,64.60%,29.70%,15.30%,24.10%,30.80%,70.30%,45.40%,78.20%,64.90%,2.90%,24.20%,47.90%
707,Ryne Stanek\stanery01,27,TOT,3.94,61.10%,21.30%,27.20%,26.40%,25.10%,78.70%,48.10%,65.40%,58.20%,5.80%,23.90%,16.90%
708,Cody Stashak\stashco01,25,MIN,3.55,74.00%,22.00%,24.20%,25.60%,28.20%,78.00%,57.70%,69.00%,71.20%,1.00%,37.50%,20.00%
709,Max Stassi\stassma01,28,TOT,5,60.00%,33.30%,0.00%,33.30%,33.30%,66.70%,40.00%,100.00%,0.00%,0.00%,0.00%,
710,Josh Staumont\staumjo01,25,KCR,3.7,60.40%,33.00%,15.20%,20.30%,31.50%,67.00%,40.50%,77.30%,51.10%,5.70%,14.80%,20.00%
711,Drew Steckenrider\steckdr01,28,MIA,4.09,61.60%,27.40%,15.10%,31.50%,26.00%,72.60%,44.70%,79.20%,56.90%,3.40%,24.10%,42.90%
712,Robert Stephenson\stephro01,26,CIN,3.91,65.90%,23.90%,29.90%,23.00%,23.20%,76.10%,50.10%,60.70%,63.10%,7.60%,39.90%,17.30%
713,Brock Stewart\stewabr01,27,TOT,3.92,63.80%,26.80%,14.80%,28.10%,30.30%,73.20%,46.70%,79.70%,60.50%,5.60%,30.60%,26.30%
714,Kohl Stewart\stewako01,24,MIN,3.52,62.50%,26.70%,14.60%,21.30%,37.50%,73.30%,45.80%,80.10%,62.40%,4.60%,25.70%,30.00%
715,Robert Stock\stockro01,29,SDP,4.09,55.00%,33.30%,21.40%,19.80%,25.40%,66.70%,36.70%,67.90%,41.10%,8.90%,12.50%,26.70%
716,Matt Strahm*\strahma01,27,SDP,3.67,69.70%,27.20%,17.00%,28.50%,27.30%,72.80%,50.80%,76.70%,67.60%,3.10%,31.20%,26.30%
717,Dan Straily\straida01,30,BAL,4.09,60.50%,25.00%,13.70%,30.70%,30.70%,75.00%,45.30%,81.70%,51.70%,6.40%,18.60%,30.30%
718,Stephen Strasburg\strasst01,30,WSN,4.01,65.30%,27.10%,22.30%,27.00%,23.70%,72.90%,47.60%,69.50%,63.50%,3.70%,29.50%,19.50%
719,Chris Stratton\stratch01,28,TOT,3.96,63.00%,23.80%,18.40%,29.50%,28.20%,76.20%,48.00%,75.80%,59.30%,4.90%,22.70%,18.80%
720,Hunter Strickland\strichu01,30,TOT,3.72,63.70%,20.90%,20.10%,28.50%,30.50%,79.10%,50.40%,74.60%,57.10%,4.80%,17.10%,16.70%
721,Ross Stripling\stripro01,29,LAD,3.88,65.70%,30.20%,17.20%,25.80%,26.80%,69.80%,45.90%,75.40%,68.30%,4.30%,26.90%,19.40%
722,Marcus Stroman\stromma01,28,TOT,3.93,62.00%,27.10%,18.00%,25.40%,29.50%,72.90%,45.20%,75.30%,56.70%,4.90%,19.70%,21.40%
723,Pedro Strop\stroppe01,34,CHC,4.12,62.40%,22.40%,22.80%,32.20%,22.60%,77.60%,48.40%,70.60%,55.30%,6.10%,29.60%,16.30%
724,Daniel Stumpf*\stumpda01,28,DET,3.87,61.70%,27.60%,18.00%,25.80%,28.60%,72.40%,44.60%,75.10%,59.30%,4.40%,18.50%,28.60%
725,Andrew Suarez*\suarean01,26,SFG,3.65,63.70%,24.10%,13.10%,31.40%,31.40%,75.90%,48.30%,82.80%,62.20%,5.40%,23.00%,32.00%
726,Jose Suarez*\suarejo01,21,LAA,3.91,61.80%,25.60%,18.80%,27.30%,28.30%,74.40%,46.00%,74.70%,53.70%,4.20%,20.80%,18.10%
727,Ranger Suarez*\suarera01,23,PHI,3.69,61.90%,25.80%,16.70%,25.60%,31.80%,74.20%,45.90%,77.40%,50.70%,4.80%,13.00%,31.00%
728,Jesus Sucre\sucreje01,31,BAL,3,77.80%,28.60%,0.00%,28.60%,42.90%,71.40%,55.60%,100.00%,66.70%,0.00%,0.00%,
729,Wander Suero\suerowa01,27,WSN,4.06,64.60%,22.80%,22.80%,30.70%,23.80%,77.20%,49.90%,70.50%,58.70%,5.40%,32.60%,21.00%
730,Cole Sulser\sulseco01,29,TBR,4.48,64.60%,26.20%,19.00%,34.50%,20.20%,73.80%,47.70%,74.20%,55.20%,3.40%,27.60%,11.10%
731,Brent Suter*\suterbr01,29,MIL,3.58,69.10%,21.10%,21.10%,27.30%,30.40%,78.90%,54.50%,73.20%,70.80%,3.10%,23.10%,6.70%
732,Erik Swanson\swanser01,25,SEA,3.96,65.10%,25.30%,16.90%,29.40%,28.30%,74.70%,48.60%,77.30%,60.80%,2.90%,26.50%,30.80%
733,Anthony Swarzak\swarzan01,33,TOT,4.02,60.10%,26.50%,20.70%,25.40%,27.40%,73.50%,44.20%,71.90%,58.50%,6.00%,21.80%,25.00%
734,Noah Syndergaard\syndeno01,26,NYM,3.75,67.60%,24.90%,20.20%,27.80%,27.10%,75.10%,50.80%,73.10%,65.70%,3.70%,32.00%,29.20%
735,Jameson Taillon\taillja01,27,PIT,3.51,69.40%,25.70%,17.90%,25.70%,30.60%,74.30%,51.50%,75.90%,67.70%,1.90%,24.10%,16.70%
736,Masahiro Tanaka\tanakma01,30,NYY,3.67,67.30%,25.10%,17.40%,27.20%,30.30%,74.90%,50.40%,76.80%,68.70%,1.70%,28.70%,16.80%
737,Stephen Tarpley*\tarplst01,26,NYY,4.3,59.00%,30.00%,22.30%,25.50%,22.30%,70.00%,41.30%,68.20%,56.60%,6.60%,21.30%,29.40%
738,Dillon Tate\tatedi01,25,BAL,3.76,62.30%,36.20%,13.80%,22.90%,27.10%,63.80%,39.70%,78.40%,59.10%,9.70%,25.80%,30.00%
739,Josh Taylor*\taylojo02,26,BOS,4.28,62.20%,20.80%,26.20%,31.00%,22.00%,79.20%,49.20%,66.90%,64.60%,4.10%,23.60%,19.40%
740,Julio Teheran\teherju01,28,ATL,4.03,62.00%,26.90%,16.20%,30.60%,26.30%,73.10%,45.30%,77.80%,59.90%,5.80%,28.80%,29.60%
741,Ryan Tepera\teperry01,31,TOR,3.74,62.40%,17.00%,21.70%,28.80%,32.50%,83.00%,51.80%,73.90%,46.20%,4.40%,16.50%,0.00%
742,Tyler Thornburg\thornty01,30,BOS,4.44,61.30%,26.50%,15.40%,35.50%,22.60%,73.50%,45.00%,79.10%,55.80%,1.20%,24.40%,31.80%
743,Trent Thornton\thorntr01,25,TOR,4.07,61.10%,27.40%,17.70%,27.40%,27.40%,72.60%,44.30%,75.60%,59.90%,4.40%,19.10%,21.50%
744,Lewis Thorpe*\thorple01,23,MIN,3.97,65.00%,25.90%,20.30%,27.80%,25.90%,74.10%,48.20%,72.60%,56.50%,7.30%,39.50%,9.70%
745,Jesus Tinoco\tinocje01,24,COL,3.78,57.50%,23.20%,17.20%,28.50%,31.10%,76.80%,44.20%,77.60%,49.70%,5.50%,16.60%,17.90%
746,Josh Tomlin\tomlijo01,34,ATL,3.55,67.10%,23.60%,15.10%,26.90%,34.40%,76.40%,51.20%,80.20%,64.40%,3.40%,24.70%,27.50%
747,Carlos Torres\torreca01,36,DET,3.97,61.70%,28.20%,21.10%,23.90%,26.80%,71.80%,44.30%,70.60%,48.30%,0.00%,31.00%,25.00%
748,Touki Toussaint\toussto01,23,ATL,3.93,58.40%,28.20%,21.40%,24.00%,26.40%,71.80%,41.90%,70.20%,51.50%,8.10%,17.20%,20.00%
749,Blake Treinen\treinbl01,31,OAK,3.83,63.00%,21.40%,21.00%,31.40%,26.20%,78.60%,49.50%,73.30%,61.00%,5.60%,24.00%,11.90%
750,Lou Trivino\trivilo01,27,OAK,3.67,62.70%,23.00%,21.70%,26.70%,28.60%,77.00%,48.30%,71.80%,64.10%,6.30%,24.80%,36.80%
751,Nick Tropeano\tropeni01,28,LAA,4.14,58.60%,23.80%,20.60%,25.60%,30.00%,76.30%,44.70%,73.00%,57.60%,6.10%,19.70%,10.00%
752,Sam Tuivailala\tuivasa01,26,SEA,4.1,60.50%,28.30%,19.70%,28.80%,23.20%,71.70%,43.40%,72.50%,61.70%,5.30%,17.00%,7.40%
753,Spencer Turnbull\turnbsp01,26,DET,4.04,61.30%,23.40%,18.90%,31.00%,26.70%,76.60%,46.90%,75.30%,59.30%,5.50%,19.40%,12.30%
754,Duane Underwood Jr.\underdu01,24,CHC,4.14,64.50%,25.00%,19.90%,30.10%,25.00%,75.00%,48.30%,73.50%,51.00%,7.80%,25.50%,15.40%
